race_id,race_display_name,chamber,state_district,baseline_party_advantage,surprise_risk_score,surprise_risk_label,polling_status,missing_data_uncertainty_label,latest_updated
HOUSE-NY-17-2026,New York 17th District,U.S. House,NY-17,Republican advantage,18.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-PA-08-2026,Pennsylvania 8th District,U.S. House,PA-8,Republican advantage,18.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-WA-03-2026,Washington 3rd District,U.S. House,WA-3,Democratic advantage,18.0,low,limited/missing,standard,2026-06-01T00:11:58
SEN-GA-2026,Georgia Senate,U.S. Senate,GA,Democratic advantage,20.0,watch,available,standard,2026-06-01T00:11:58
HOUSE-CA-48-2026,California 48th District,U.S. House,CA-48,Democratic advantage,18.0,low,limited/missing,high,2026-06-01T00:11:58
HOUSE-NE-02-2026,Nebraska 2nd District,U.S. House,NE-2,Democratic advantage,18.0,low,limited/missing,high,2026-06-01T00:11:58
SEN-NH-2026,New Hampshire Senate,U.S. Senate,NH,Democratic advantage,5.0,low,available,standard,2026-06-01T00:11:58
HOUSE-CA-13-2026,California 13th District,U.S. House,CA-13,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-CA-45-2026,California 45th District,U.S. House,CA-45,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-FL-14-2026,Florida 14th District,U.S. House,FL-14,Republican advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-FL-22-2026,Florida 22nd District,U.S. House,FL-22,Republican advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-MI-08-2026,Michigan 8th District,U.S. House,MI-8,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-NC-01-2026,North Carolina 1st District,U.S. House,NC-1,Republican advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-NM-02-2026,New Mexico 2nd District,U.S. House,NM-2,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-NV-03-2026,Nevada 3rd District,U.S. House,NV-3,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-NY-03-2026,New York 3rd District,U.S. House,NY-3,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-NY-04-2026,New York 4th District,U.S. House,NY-4,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-NY-19-2026,New York 19th District,U.S. House,NY-19,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-OH-01-2026,Ohio 1st District,U.S. House,OH-1,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-TX-28-2026,Texas 28th District,U.S. House,TX-28,Democratic advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
HOUSE-VA-01-2026,Virginia 1st District,U.S. House,VA-1,Republican advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
SEN-AK-2026,Alaska Senate,U.S. Senate,AK,Republican advantage,5.0,low,available,standard,2026-06-01T00:11:58
SEN-TX-2026,Texas Senate,U.S. Senate,TX,Republican advantage,55.0,elevated,available,standard,2026-06-01T00:11:58
SEN-IA-2026,Iowa Senate,U.S. Senate,IA,Republican advantage,5.0,low,available,standard,2026-06-01T00:11:58
SEN-FL-SPECIAL-2026,Florida Senate Special,U.S. Senate,FL,Republican advantage,13.0,low,limited/missing,standard,2026-06-01T00:11:58
SEN-NE-2026,Nebraska Senate,U.S. Senate,NE,Republican advantage,19.0,low,limited/missing,standard,2026-06-01T00:11:58
